Starting new session  2018-01-01T14:09:25.496440
 d= 129
 K= 7
 num_batches= 47
 C= 17
 lambd= 0.14357744146517332
 max_epochs= 2
 max_iterations= 94
Number of words =  26784
Number of entities =  38696
Number of relations =  11
num_words_per_entity =  9
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40720)
train data batch shape= (4, 40757)


  num_iter train_cost train_accu  dev_cost    dev_accu regulariza
         0  1.152e+05     0.5037                        7.448e+04
         1  1.139e+05     0.5019                        7.352e+04
         2  1.135e+05     0.5015                        7.351e+04
         3  1.131e+05     0.5011                        7.351e+04
         4   1.13e+05     0.5071                         7.35e+04
         5  1.129e+05     0.5085                         7.35e+04
         6   1.13e+05     0.5048                         7.35e+04
         7  1.129e+05     0.5046                         7.35e+04
         8  1.126e+05     0.5059                        7.325e+04
         9  1.123e+05     0.5094                        7.324e+04
        10  1.126e+05       0.51                        7.324e+04
        11  1.128e+05     0.5037                        7.324e+04
        12  1.126e+05     0.5067                        7.324e+04
        13  1.128e+05     0.5047                        7.323e+04
        14  1.124e+05     0.5029                        7.323e+04
        15  1.129e+05     0.5078                        7.323e+04
        16  1.126e+05     0.5028                        7.323e+04
        17  1.128e+05     0.5174                        7.306e+04
        18  1.125e+05     0.5216                        7.306e+04
        19  1.135e+05     0.5128                        7.306e+04
        20  1.124e+05     0.5291                        7.306e+04
        21  1.157e+05     0.5204                        7.306e+04
        22  1.138e+05     0.5087                        7.307e+04
        23  1.132e+05     0.5089                        7.303e+04
        24  1.129e+05     0.5009                        7.299e+04
        25   1.13e+05     0.5003                        7.299e+04
        26   1.13e+05     0.5014                        7.298e+04
        27  1.125e+05     0.5039                        7.297e+04
        28  1.119e+05     0.5031                        7.297e+04
        29  1.125e+05     0.5041                        7.297e+04
        30  1.127e+05     0.5041                        7.297e+04
        31  1.132e+05     0.5045                        7.297e+04
        32  1.131e+05     0.5053                        7.297e+04
        33  1.131e+05      0.509                        7.297e+04
        34  1.128e+05     0.5065                        7.297e+04
        35  1.126e+05     0.5077                        7.297e+04
        36  1.125e+05     0.5065                        7.297e+04
